venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_674e4a68544c4b4646436752676f4254356c43496d775a4a496843,Plain Spoke Cocktail Company,BAR,43.0747627,-89.3811745,4.4,95,0,8927580088bffff,1,0.0,0.0,0.0,0.0,0.0,0.471579,0.047158,0.151209,0.078373
ven_77504c7a6647643668433452676f4254395748615735474a496843,Breese Stevens Field,STADIUM,43.0833459,-89.3730576,4.5,1168,0,89275800c3bffff,1,0.0,2.0,0.0,0.0,0.0,0.746415,0.074642,0.086746,0.078273
ven_3061725950776b7a59347052676f4254396a765a46596d4a496843,Woof's,BAR,43.0747492,-89.3809807,4.4,93,0,8927580088bffff,1,0.0,29.0,0.0,0.0,0.0,0.469404,0.04694,0.151209,0.078221
ven_45735244496d6d5043775f526734427371386b7a6c66544a496843,Wisconsin Historical Society,LIBRARY,43.075402,-89.400054,4.4,48,0,89275800e27ffff,1,0.0,0.0,0.0,0.0,0.0,0.402095,0.04021,0.166605,0.078128
ven_34306f394b61646756524652676f425474616a414a524f4a496843,Luchador Tequila & Taco Bar,MEXICAN_RESTAURANT,43.0749904,-89.3948475,3.7,137,1,892758008cbffff,1,0.0,0.0,0.0,0.0,0.0,0.428085,0.042808,0.159962,0.077954
ven_495f4564636c595241315252676f42555a346c327a33554a496843,Banzo,MEDITERANEAN_RESTAURANT,43.1015817,-89.3648249,4.6,1276,1,89275802a2fffff,1,0.0,0.0,0.0,0.0,0.0,0.772547,0.077255,0.079199,0.077838
ven_6f655a5172346a67596c6752676f42546c436e7073585f4a496843,Hutong 胡同小酒馆,CHINESE_RESTAURANT,43.0756691,-89.3772703,4.6,210,1,89275800883ffff,1,0.0,58.0,0.0,0.0,0.0,0.578077,0.057808,0.123997,0.077665
ven_34334e3837795a4f716a4352676f4254396e326d6139434a496843,Chasers 2.0,RESTAURANT,43.0740484,-89.3932195,4.2,81,0,89275800853ffff,1,0.0,0.0,0.0,0.0,0.0,0.434598,0.04346,0.156274,0.077304
ven_635853357a4c464b69663952676f4254747656757658794a496843,Double Tap (Tap Tap) - Madison,RESTAURANT,43.0746629,-89.3914766,4.1,105,2,892758008cfffff,1,0.0,13.0,0.0,0.0,0.0,0.448966,0.044897,0.151341,0.07683
ven_63465947785a6d3578393452676f42545a5542506a2d474a496843,Taco Local,RESTAURANT,43.0784155,-89.370943,4.3,292,2,89275800c2fffff,1,0.0,0.0,0.0,0.0,0.0,0.573526,0.057353,0.120083,0.076172
ven_49546c43523252445f754f52676f425464446c426632714a496843,Sotto Night Club,CLUBS,43.0750893,-89.3900704,3.8,177,2,892758008c3ffff,1,0.0,0.0,0.0,0.0,0.0,0.462366,0.046237,0.145897,0.076135
ven_6376754f3472326367505852676f42545a5464737478384a496843,Soga Shabu Shabu,CHINESE_RESTAURANT,43.0746716,-89.3942247,3.5,131,2,892758008cbffff,1,0.0,26.0,0.0,0.0,0.0,0.401292,0.040129,0.159962,0.076079
ven_494f4b4a453269416d412d52676f425468325f335562674a496843,The Robin Room,BAR,43.0836191,-89.3771361,4.7,612,2,89275800c77ffff,1,0.0,34.0,0.0,0.0,0.0,0.708346,0.070835,0.087661,0.075883
ven_4572626f57684c4c574d5252676f42546c6a4e505a7a6b4a496843,Shamrock Bar & Grille,BAR,43.0724941,-89.3847503,4.3,135,1,89275800813ffff,1,0.0,28.0,0.0,0.0,0.0,0.49603,0.049603,0.135587,0.075398
ven_305043683954466733354652676f42545a4e4a7961576f4a496843,City Bar,BAR,43.0750193,-89.3961721,4.0,44,0,89275800e27ffff,1,0.0,0.0,0.0,0.0,0.0,0.357542,0.035754,0.166605,0.075009
ven_4959433333613466417a7852676f425435587863465a524a496843,Little Tibet Madison,RESTAURANT,43.0837417,-89.3769002,4.8,466,2,89275800c77ffff,1,0.0,0.0,0.0,0.0,0.0,0.692756,0.069276,0.087661,0.074792
ven_344c4667336d3162576e385267344273573947796a34434a496843,El Rancho Mexican Grill,MEXICAN_RESTAURANT,43.0588594,-89.4000916,4.6,644,1,89275800bdbffff,1,0.0,0.0,0.0,0.0,0.0,0.698771,0.069877,0.084728,0.074332
