venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_4541786c355a757764466c52676f4254647a77484832544a496843,The Plaza Tavern,BAR,43.0753416,-89.3904261,4.5,603,1,892758008c3ffff,1,80.0,49.0,0.8,1.0,0.5,0.676641,0.802664,0.445664,0.695564
ven_6b50635431752d5733783952676f425442456838637a494a496843,Eno Vino Downtown,RESTAURANT,43.0765875,-89.3823592,4.6,2003,3,8927580088bffff,1,95.0,79.0,0.95,0.801688,0.0,0.821222,0.750129,0.466172,0.664942
ven_6b62643455425744346d4e52676f42546c6a4e6850636d4a496843,Genna's Lounge,BAR,43.0727616,-89.3843644,4.4,840,1,89275800813ffff,1,65.0,47.0,0.65,0.921986,0.375,0.695805,0.694926,0.455851,0.623204
ven_6362716a64677a6e656d5552676f4254395432706d51524a496843,Nattspil,RESTAURANT,43.0744314,-89.3797501,4.7,912,2,8927580088bffff,1,80.0,74.0,0.8,0.720721,0.0,0.752311,0.651447,0.466172,0.595865
ven_34493242496b594d30626152676f425439546f353155424a496843,Tipsy Cow,RESTAURANT,43.0747636,-89.3815616,4.5,2135,2,8927580088bffff,1,80.0,82.0,0.8,0.650407,0.0,0.81011,0.636133,0.466172,0.585145
ven_45634d6533415f4237533752676f4254394431644e554a4a496843,Tempest Oyster Bar,RESTAURANT,43.0739171,-89.3796546,4.6,1051,3,8927580088fffff,1,55.0,71.0,0.55,0.516432,0.0,0.751612,0.477591,0.410142,0.457356
ven_304c725f6a456c4958616f52676f4254686a6a4479784a4a496843,The Coopers Tavern,BAR,43.0751065,-89.3861702,4.5,2083,2,892758008c7ffff,1,40.0,46.0,0.4,0.57971,0.0,0.807505,0.434664,0.38728,0.420449
ven_6742705767396b414f4c4a52676f4254424571716778484a496843,The Old Fashioned,RESTAURANT,43.0762535,-89.3837007,4.5,4779,2,892758008d7ffff,1,30.0,66.0,0.3,0.30303,0.0,0.895224,0.315432,0.383381,0.335817
ven_59677a416c4c483930647852676f4254396a70384f53584a496843,Marigold Kitchen,CAFE,43.0741182,-89.3815111,4.6,1954,2,8927580088bffff,0,0.0,72.0,0.0,0.0,0.0,0.818548,0.0,0.466172,0.139852
ven_4959533148546c355a4d3952676f42546444753864796e4a496843,Himal Chuli Restaurant,RESTAURANT,43.0749385,-89.3907051,4.5,780,2,892758008cfffff,0,0.0,79.0,0.0,0.0,0.0,0.703797,0.0,0.343598,0.103079
